"reference","isDeprecatedLicenseId","detailsUrl","referenceNumber","name","licenseId","seeAlso","isOsiApproved","isFsfLibre"
"https://spdx.org/licenses/HPND-sell-variant.html",FALSE,"https://spdx.org/licenses/HPND-sell-variant.json",22,"Historical Permission Notice and Disclaimer - sell variant","HPND-sell-variant","https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/tree/net/sunrpc/auth_gss/gss_generic_token.c?h=v4.19",FALSE,NA
"https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.html",FALSE,"https://spdx.org/licenses/HPND-sell-variant-MIT-disclaimer.json",230,"HPND sell variant with MIT disclaimer","HPND-sell-variant-MIT-disclaimer","https://github.com/sigmavirus24/x11-ssh-askpass/blob/master/README",FALSE,NA
"https://spdx.org/licenses/HPND-UC.html",FALSE,"https://spdx.org/licenses/HPND-UC.json",187,"Historical Permission Notice and Disclaimer - University of California variant","HPND-UC","https://core.tcl-lang.org/tk/file?name=compat/unistd.h",FALSE,NA
"https://spdx.org/licenses/HTMLTIDY.html",FALSE,"https://spdx.org/licenses/HTMLTIDY.json",353,"HTML Tidy License","HTMLTIDY","https://github.com/htacg/tidy-html5/blob/next/README/LICENSE.md",FALSE,NA
"https://spdx.org/licenses/IBM-pibs.html",FALSE,"https://spdx.org/licenses/IBM-pibs.json",372,"IBM PowerPC Initialization and Boot Software","IBM-pibs","http://git.denx.de/?p=u-boot.git;a=blob;f=arch/powerpc/cpu/ppc4xx/miiphy.c;h=297155fdafa064b955e53e9832de93bfb0cfb85b;hb=9fab4bf4cc077c21e43941866f3f2c196f28670d",FALSE,NA
"https://spdx.org/licenses/ICU.html",FALSE,"https://spdx.org/licenses/ICU.json",492,"ICU License","ICU","http://source.icu-project.org/repos/icu/icu/trunk/license.html",TRUE,NA
"https://spdx.org/licenses/IEC-Code-Components-EULA.html",FALSE,"https://spdx.org/licenses/IEC-Code-Components-EULA.json",44,"IEC    Code Components End-user licence agreement","IEC-Code-Components-EULA","https://www.iec.ch/webstore/custserv/pdf/CC-EULA.pdf",FALSE,NA
"https://spdx.org/licenses/IJG.html",FALSE,"https://spdx.org/licenses/IJG.json",391,"Independent JPEG Group License","IJG","http://dev.w3.org/cvsweb/Amaya/libjpeg/Attic/README?rev=1.2",FALSE,TRUE
"https://spdx.org/licenses/IJG-short.html",FALSE,"https://spdx.org/licenses/IJG-short.json",546,"Independent JPEG Group License - short","IJG-short","https://sourceforge.net/p/xmedcon/code/ci/master/tree/libs/ljpg/",FALSE,NA
"https://spdx.org/licenses/ImageMagick.html",FALSE,"https://spdx.org/licenses/ImageMagick.json",288,"ImageMagick License","ImageMagick","http://www.imagemagick.org/script/license.php",FALSE,NA
"https://spdx.org/licenses/iMatix.html",FALSE,"https://spdx.org/licenses/iMatix.json",403,"iMatix Standard Function Library Agreement","iMatix","http://legacy.imatix.com/html/sfl/sfl4.htm#license",FALSE,TRUE
"https://spdx.org/licenses/Imlib2.html",FALSE,"https://spdx.org/licenses/Imlib2.json",438,"Imlib2 License","Imlib2","http://trac.enlightenment.org/e/browser/trunk/imlib2/COPYING",FALSE,TRUE
"https://spdx.org/licenses/Info-ZIP.html",FALSE,"https://spdx.org/licenses/Info-ZIP.json",113,"Info-ZIP License","Info-ZIP","http://www.info-zip.org/license.html",FALSE,NA
"https://spdx.org/licenses/Inner-Net-2.0.html",FALSE,"https://spdx.org/licenses/Inner-Net-2.0.json",150,"Inner Net License v2.0","Inner-Net-2.0","https://fedoraproject.org/wiki/Licensing/Inner_Net_License",FALSE,NA
"https://spdx.org/licenses/Intel.html",FALSE,"https://spdx.org/licenses/Intel.json",130,"Intel Open Source License","Intel","https://opensource.org/licenses/Intel",TRUE,TRUE
"https://spdx.org/licenses/Intel-ACPI.html",FALSE,"https://spdx.org/licenses/Intel-ACPI.json",352,"Intel ACPI Software License Agreement","Intel-ACPI","https://fedoraproject.org/wiki/Licensing/Intel_ACPI_Software_License_Agreement",FALSE,NA
"https://spdx.org/licenses/Interbase-1.0.html",FALSE,"https://spdx.org/licenses/Interbase-1.0.json",593,"Interbase Public License v1.0","Interbase-1.0","https://web.archive.org/web/20060319014854/http://info.borland.com/devsupport/interbase/opensource/IPL.html",FALSE,NA
"https://spdx.org/licenses/IPA.html",FALSE,"https://spdx.org/licenses/IPA.json",128,"IPA Font License","IPA","https://opensource.org/licenses/IPA",TRUE,TRUE
"https://spdx.org/licenses/IPL-1.0.html",FALSE,"https://spdx.org/licenses/IPL-1.0.json",457,"IBM Public License v1.0","IPL-1.0","https://opensource.org/licenses/IPL-1.0",TRUE,TRUE
"https://spdx.org/licenses/ISC.html",FALSE,"https://spdx.org/licenses/ISC.json",39,"ISC License","ISC","https://www.isc.org/licenses/",TRUE,TRUE
"https://spdx.org/licenses/Jam.html",FALSE,"https://spdx.org/licenses/Jam.json",383,"Jam License","Jam","https://www.boost.org/doc/libs/1_35_0/doc/html/jam.html",TRUE,NA
"https://spdx.org/licenses/JasPer-2.0.html",FALSE,"https://spdx.org/licenses/JasPer-2.0.json",135,"JasPer License","JasPer-2.0","http://www.ece.uvic.ca/~mdadams/jasper/LICENSE",FALSE,NA
"https://spdx.org/licenses/JPL-image.html",FALSE,"https://spdx.org/licenses/JPL-image.json",304,"JPL Image Use Policy","JPL-image","https://www.jpl.nasa.gov/jpl-image-use-policy",FALSE,NA
"https://spdx.org/licenses/JPNIC.html",FALSE,"https://spdx.org/licenses/JPNIC.json",116,"Japan Network Information Center License","JPNIC","https://gitlab.isc.org/isc-projects/bind9/blob/master/COPYRIGHT#L366",FALSE,NA
"https://spdx.org/licenses/JSON.html",FALSE,"https://spdx.org/licenses/JSON.json",68,"JSON License","JSON","http://www.json.org/license.html",FALSE,FALSE
"https://spdx.org/licenses/Kastrup.html",FALSE,"https://spdx.org/licenses/Kastrup.json",411,"Kastrup License","Kastrup","https://ctan.math.utah.edu/ctan/tex-archive/macros/generic/kastrup/binhex.dtx",FALSE,NA
"https://spdx.org/licenses/Kazlib.html",FALSE,"https://spdx.org/licenses/Kazlib.json",154,"Kazlib License","Kazlib","http://git.savannah.gnu.org/cgit/kazlib.git/tree/except.c?id=0062df360c2d17d57f6af19b0e444c51feb99036",FALSE,NA
"https://spdx.org/licenses/Knuth-CTAN.html",FALSE,"https://spdx.org/licenses/Knuth-CTAN.json",381,"Knuth CTAN License","Knuth-CTAN","https://ctan.org/license/knuth",FALSE,NA
"https://spdx.org/licenses/LAL-1.2.html",FALSE,"https://spdx.org/licenses/LAL-1.2.json",204,"Licence Art Libre 1.2","LAL-1.2","http://artlibre.org/licence/lal/licence-art-libre-12/",FALSE,NA
"https://spdx.org/licenses/LAL-1.3.html",FALSE,"https://spdx.org/licenses/LAL-1.3.json",390,"Licence Art Libre 1.3","LAL-1.3","https://artlibre.org/",FALSE,NA
"https://spdx.org/licenses/Latex2e.html",FALSE,"https://spdx.org/licenses/Latex2e.json",102,"Latex2e License","Latex2e","https://fedoraproject.org/wiki/Licensing/Latex2e",FALSE,NA
"https://spdx.org/licenses/Latex2e-translated-notice.html",FALSE,"https://spdx.org/licenses/Latex2e-translated-notice.json",33,"Latex2e with translated notice permission","Latex2e-translated-notice","https://git.savannah.gnu.org/cgit/indent.git/tree/doc/indent.texi?id=a74c6b4ee49397cf330b333da1042bffa60ed14f#n74",FALSE,NA
"https://spdx.org/licenses/Leptonica.html",FALSE,"https://spdx.org/licenses/Leptonica.json",21,"Leptonica License","Leptonica","https://fedoraproject.org/wiki/Licensing/Leptonica",FALSE,NA
"https://spdx.org/licenses/LGPL-2.0.html",TRUE,"https://spdx.org/licenses/LGPL-2.0.json",408,"GNU Library General Public License v2 only","LGPL-2.0","https://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",TRUE,NA
"https://spdx.org/licenses/LGPL-2.0+.html",TRUE,"https://spdx.org/licenses/LGPL-2.0+.json",247,"GNU Library General Public License v2 or later","LGPL-2.0+","https://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",TRUE,NA
"https://spdx.org/licenses/LGPL-2.0-only.html",FALSE,"https://spdx.org/licenses/LGPL-2.0-only.json",455,"GNU Library General Public License v2 only","LGPL-2.0-only","https://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",TRUE,NA
"https://spdx.org/licenses/LGPL-2.0-or-later.html",FALSE,"https://spdx.org/licenses/LGPL-2.0-or-later.json",64,"GNU Library General Public License v2 or later","LGPL-2.0-or-later","https://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html",TRUE,NA
"https://spdx.org/licenses/LGPL-2.1.html",TRUE,"https://spdx.org/licenses/LGPL-2.1.json",591,"GNU Lesser General Public License v2.1 only","LGPL-2.1","https://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/LGPL-2.1+.html",TRUE,"https://spdx.org/licenses/LGPL-2.1+.json",223,"GNU Lesser General Public License v2.1 or later","LGPL-2.1+","https://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/LGPL-2.1-only.html",FALSE,"https://spdx.org/licenses/LGPL-2.1-only.json",475,"GNU Lesser General Public License v2.1 only","LGPL-2.1-only","https://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/LGPL-2.1-or-later.html",FALSE,"https://spdx.org/licenses/LGPL-2.1-or-later.json",287,"GNU Lesser General Public License v2.1 or later","LGPL-2.1-or-later","https://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/LGPL-3.0.html",TRUE,"https://spdx.org/licenses/LGPL-3.0.json",28,"GNU Lesser General Public License v3.0 only","LGPL-3.0","https://www.gnu.org/licenses/lgpl-3.0-standalone.html",TRUE,TRUE
