name,category,link,topics,country,region_africa,region_asia,region_easteurope,region_latinamerica,region_westeurope,year_start,year_end,availability,registration,license,file_codebook,file_csv,file_dta,file_sav,file_excel,file_r,file_zip,variable_countryname,variable_year,variable_cow,doi_article,doi_dataset,revised,note
3P Anti-trafficking Policy Index,policy,https://www.awi.uni-heidelberg.de/professuren/intwipol/datasets_en.html,"anti-trafficking, prosecution, protection, prevention",,1,1,1,1,1,2000,2012,online,no,,,,,,http://www.uni-heidelberg.de/md/awi/humantrafficking/3p_anti_trafficking_index_2000-2012.xls,,,Country,Year,,10.1111/sjoe.12055,,20220815,
A Comprehensive Dataset of U.S. Federal Laws,policy,https://doi.org/10.17605/OSF.IO/MRGHC,federal laws,US,0,0,0,0,1,1789,2022,online,no,CC-BY-4.0,,,,,,,,,,,10.1038/s41597-023-02758-z,10.17605/OSF.IO/MRGHC,20240303,
A Lexicial Index of Electoral Democracy,democracy,https://doi.org/10.7910/DVN/29106,"political regimes, democratization, regime change, democracy index",,1,1,1,1,1,1800,2015,online,no,CC0-1.0,,,,,,,,countryn,year,cow,10.1177/0010414015581050,10.7910/DVN/29106,20231104,
A millennium of macroeconomic data,economics,https://www.bankofengland.co.uk/statistics/research-datasets,"macroeconomics, finance",GB,0,0,0,0,0,1086,2016,online,no,,,,,,https://www.bankofengland.co.uk/-/media/boe/files/statistics/research-datasets/a-millennium-of-macroeconomic-data-for-the-uk.xlsx,,,,,,,,20201008,
Abortion Law Database,policy,https://www.hsph.harvard.edu/david-canning/data-sets/,"abortion, criteria",,1,1,1,1,1,1960,2006,online,no,,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/241/2012/10/abortion_Read_me.doc,,,,,,,ctr_name,year,,10.1007/s10887-009-9039-9,,20180529,
ACLP Political and Economic Database,political institutions,https://sites.google.com/site/joseantoniocheibub/datasets/democracy-and-development-aclp,"democracy, regimes, institutions, economy",,1,1,1,1,1,1951,1990,online,no,,,,,,,,https://uofi.box.com/shared/static/bde91e1f4a21c24632d6.zip,COUNTRY,YEAR,,,,20180502,
Administrative Capacities,governance,https://www.hertie-school.org/en/governancereport/govreport-indicators/,"crime control, education provision, civil justice provision, revenue collection capacity, legitimacy and effectiveness, regulatory capacity and quality, coordination capacity, self-monitoring",,1,1,1,1,1,2014,2014,online,no,,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_IndicatorsCodebook.pdf,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.csv,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.dta,,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.xlsx,https://www.hertie-school.org/fileadmin/2_Research/1_About_our_research/4_The_Governance_Report/Indicators/2014/Downloads/GovReport2014_Indicators_Indicators.RData,,country,,,,,20180225,Comprised of data from multiple organisations and data providers.
African Elections Database,elections,https://africanelections.tripod.com/,elections,,1,0,0,0,0,1910,2012,online,no,,,,,,,,,,,,,,20230305,
African Relational Pro-Government Militia Dataset,international relations,https://doi.org/10.1080/03050629.2018.1458724,"ethnic conflict, militia, civil war, conflict",,1,0,0,0,0,1997,2014,online,yes,,,,,,,,,,,,10.1080/03050629.2018.1458724,,20231001,
Afrobarometer,citizens,http://www.afrobarometer.org/,"conflict and crime, democracy, elections, gender equality, governance, identity, macroeconomics and markets, political participation, poverty, public services, social capital, tolerance, citizenship, energy",,1,0,0,0,0,1999,2016,online,no,,http://afrobarometer.org/sites/default/files/data/round-6/merged_round_6_codebook_28082017.pdf,,,http://afrobarometer.org/sites/default/files/data/round-6/merged_r6_data_2016_36countries2.sav,,,,COUNTRY,,,,,20180225,Cross-sectional. Data and codebook link is to the 2016 merged Round 6.
AfroGrid,international relations,https://doi.org/10.7910/DVN/LDI5TK,"conflict, environmental stress",,1,0,0,0,0,1989,2020,online,no,CC0-1.0,,,,,,,,country.name,year,,,10.7910/DVN/LDI5TK,20231105,
"Age, gender and profession of parliamentarians",parties and politicians,http://archive.ipu.org/gpr-e/downloads/index.htm,"Chamber, gender, age, profession",,1,1,1,1,1,2012,2012,online,no,,http://archive.ipu.org/gpr-e/downloads/dataset-notes-e.pdf,,,,http://archive.ipu.org/gpr-e/downloads/data-age-gender-profession-e.xls,,,COUNTRY,,,,,20180410,
Aid Worker Security Database,international relations,https://aidworkersecurity.org/incidents,"aid workers, attacks, staff",,1,1,1,1,0,1997,2021,online,no,,,,,,,,,Country,Year,,,,20210901,
AidData,international relations,http://aiddata.org/data/aiddata-core-research-release-level-1-v3-0,"foreign aid, development finance, aid effectiveness, aid transparency, aid allocation",,1,1,1,1,1,1947,2013,online,no,,http://docs.aiddata.org/ad4/files/inline/readme.pdf,,,,,,https://github.com/AidData-WM/public_datasets/releases/download/v3.0/AidDataCore_ResearchRelease_Level1_v3.0.zip,,year,,10.1016/j.worlddev.2011.07.029,,20180705,
Alliance Treaty Obligations and Provisions,international relations,http://atop.rice.edu/data,"alliance, treaty, obligations, international security, international cooperation",,1,1,1,1,1,1815,2003,online,no,,,,,,,,http://atop.rice.edu/download/data/ATOP3_0csv.zip,,begyr,cowid,10.1080/03050620213653,,20180401,
American Local Government Elections Database,elections,https://doi.org/10.1038/s41597-023-02792-x,"local politics, urban politics, representation",US,0,0,0,0,1,1989,2021,online,no,CC-BY-4.0,,,,,,,,,,,10.1038/s41597-023-02792-x,10.17605/OSF.IO/MV5E6,20240208,
American National Election Studies,citizens,http://www.electionstudies.org/,"Political attitudes, voting behavior, political participation, socio-demographic characteristics",US,0,0,0,0,1,1948,2016,online,yes,,,,,,,,,,VCF0004,,,,20180912,Cross-sectional and panel datasets. Year variable is from the cumulative dataset.
American Trends Panel Datasets,citizens,http://www.pewresearch.org/american-trends-panel-datasets/,"political knowledge, immigration, personality politics, media consumption, guns",US,0,0,0,0,1,2014,2017,online,yes,,,,,,,,,,,,,,20180321,
Americas Barometer,citizens,http://www.vanderbilt.edu/lapop/about-americasbarometer.php,"Political attitudes, political participation, socio-demographic characteristics",,0,0,0,1,1,2004,2017,online,no,,http://datasets.americasbarometer.org/database/files/12364388022004-2014%20Grand%20Merge%20Codebook_V3.0_Free_W.pdf,,,,,,http://datasets.americasbarometer.org/database/files/746278534AmericasBarometer%20Grand%20Merge%202004-2014%20v3.0_FREE_dta.zip,pais,,,,,20180912,Cross-sectional dataset. Link to zip file is to the 2004-2014 merged Stata file.
An Automated Database of the European Parliament,political elites,https://nabu.usit.uio.no/sv/isv/,"European Parliament, MEP",,0,0,1,0,1,1979,2018,online,password,,,,,,,,,,,,10.1177/1465116508099764,,20190311,
Anatomy of Resistance Campaigns,international relations,https://doi.org/10.1177%2F00223433211029512,"civil war, dissent, networks, organizations, protest",,1,0,0,0,0,1990,2015,online,no,,,,,,,,,country.name,year,,10.1177/00223433211029512,,20220208,
Anti-Refugee Violence and Social Unrest in Germany,other,https://journals.sagepub.com/doi/abs/10.1177/2053168016679590,"right-wing extremist violence, georeferenced event data, refugees",DE,0,0,0,0,1,2014,2015,online,no,,,,,,,,,,,,10.1177/2053168016679590,10.7910/DVN/I2CZQY,20181129,
Aqueduct,environment,https://www.wri.org/resources/data-sets/aqueduct-30-country-rankings,"aqueduct, water, water quality, water stress",,1,1,1,1,1,2019,2019,online,no,,,,,,https://wriorg.s3.amazonaws.com/s3fs-public/aqueduct-30-country-rankings.xlsx,,,name_0,,,,,20200220,
Arab Barometer,citizens,http://arabbarometer.org/,"Political attitudes, political participation, socio-demographic characteristics",,1,1,0,0,0,2006,2019,online,"no, online form",,https://www.arabbarometer.org/wp-content/uploads/ABV_SourceQuestionnaire_ENG_Release-1.pdf,,,,,,,country,,,,,20191005,Cross-sectional dataset. Links are to the Arab Barometer V files.
Archigos: A Data Base on Leaders 1875-2004,political elites,http://www.rochester.edu/college/faculty/hgoemans/data.htm,"political leaders, leader characteristics",,1,1,1,1,1,1875,2015,online,no,,http://www.rochester.edu/college/faculty/hgoemans/Archigos_4.1.pdf,,http://www.rochester.edu/college/faculty/hgoemans/Archigos_4.1_stata14.dta,,,,,,,,10.1177/0022343308100719,,20200804,Stata link is to Version 4.1.
Armed Conflict Location & Event Data Project,international relations,https://acleddata.com/data-export-tool/,"conflict, protest",,1,1,1,1,1,1997,2022,online,yes,,,,,,,,,,,,,,20220430,
Armed Group Dataset,international relations,https://armedgroupdataset.org/,armed groups,,1,1,1,1,1,1970,2012,online,no,,https://armedgroupdataset.files.wordpress.com/2021/08/codebook-for-country-year-data-1.pdf,,,,,,,country_txt,year,ccode,10.1093/isq/sqac050,,20220910,
Asian Barometer,citizens,http://www.asianbarometer.org/,"economic evaluations, trust in institutions, social capital, political participation, access to public service, internet and social media, partisanship",,0,1,0,0,0,2001,2021,online,application,,,,,,,,,,,,,,20220430,
Australian Candidate Study,political elites,https://australianelectionstudy.org/candidate-studies/,political attitudes,AU,0,0,0,0,1,1987,2019,online,no,,,,,,,,,,,,10.26193/HBYHL2,,20220430,
Australian Constitutional Referendum Study,citizens,https://australianelectionstudy.org/acrs/,political attitudes,AU,0,0,0,0,1,1999,1999,online,no,,,,,,,,,,,,10.26193/CMECLJ,,20220502,
Australian Election Studies: Voter Studies,citizens,https://australianelectionstudy.org/voter-studies/,political attitudes,AU,0,0,0,0,1,1987,2019,online,no,,,,,,,,,,,,10.26193/KMAMMW,,20220502,
Australian National Political Attitudes Surveys,citizens,https://australianelectionstudy.org/anpas-studies/,political attitudes,AU,0,0,0,0,1,1967,1979,online,no,,,,,,,,,,,,10.26193/AIOCOR,,20220502,
Austrian National Election Study,citizens,http://www.autnes.at/en/data-download/,political attitudes,AT,0,0,0,0,1,2002,2019,online,no,,,,,,,,,,,,,,20220504,
Authoritarian Regimes Dataset,democracy,https://sites.google.com/site/authoritarianregimedataset/data,"regime, military, monarchy",,1,1,1,1,1,1972,2014,online,no,,,,,,,,,country,year,cowcode,10.1353/jod.2007.0009,,20220504,
Authoritarian Ruling Elites Database,international relations,https://sites.google.com/view/austinsmatthews/data-projects,"elites, authoritarian, dictatorship",,1,1,1,1,1,1922,2020,online,no,,,,,,,,,,,,,10.7910/DVN/QZ9BSA,20200827,
Autocracies of the World,democracy,https://cddrl.fsi.stanford.edu/research/autocracies_of_the_world_dataset,"monarchy, military, single party, multiparty, democracy",,1,1,1,1,1,1950,2012,online,no,,https://fsi-live.s3.us-west-1.amazonaws.com/s3fs-public/res/Codebook.pdf,,,,https://fsi-live.s3.us-west-1.amazonaws.com/s3fs-public/res/Data_Set.xls,,,country,year,ccode,,,20180704,
Autocratic Regime Data,democracy,http://sites.psu.edu/dictators/,"autocratic regimes, failures, non-democracy",,1,1,1,1,1,1946,2010,online,no,,http://sites.psu.edu/dictators/wp-content/uploads/sites/12570/2016/05/GWF-Codebook.pdf,,,,,,http://sites.psu.edu/dictators/wp-content/uploads/sites/12570/2016/05/GWF-Autocratic-Regimes-1.2.zip,,year,cowcode,10.1017/S1537592714000851,,20220510,
Autocratic Ruling Parties Dataset,parties and politicians,https://sites.google.com/site/mkmtwo/data,"democratization, autocracy, political parties, autocratic institutions",,1,1,1,1,1,1940,2015,online,no,,https://b2998732-a-62cb3a1a-s-sites.googlegroups.com/site/mkmtwo/ARPD-Codebook.pdf,,http://sites.google.com/site/mkmtwo/AutocraticRulingPartiesDataset.dta,,http://sites.google.com/site/mkmtwo/AutocraticRulingPartiesDataset.xls,,,Country,Year,ccode,10.1177/0022002719876000,,20191013,
Bank for International Settlements,economics,https://www.bis.org/statistics/full_data_sets.htm,"debt securities, credit, global liquidity, exchange rates, property prices, payments and financial market infrastructures",,1,1,1,1,1,1661,2020,online,no,,,,,,,,,,,,,,20200806,
Barro-Ursua Macroeconomic Data,economics,https://scholar.harvard.edu/barro/publications/barro-ursua-macroeconomic-data,"macro economic, gdp",,1,1,1,1,1,1790,2009,online,no,,,,,,https://scholar.harvard.edu/files/barro/files/barro_ursua_macrodataset_1110.xls,,,,,,,,20180331,
Basic data on parliaments,cabinets and parliaments,http://archive.ipu.org/gpr-e/downloads/index.htm,"MPs, parliament, chamber, budget, salary, staff",,1,1,1,1,1,2012,2012,online,no,,,,,,http://archive.ipu.org/gpr-e/downloads/dataset-full-e.xls,,,Country,,,,,20220510,
Belgium General Election Study,citizens,https://easy.dans.knaw.nl/ui/datasets/id/easy-dataset:65023,,BE,0,0,0,0,1,1991,2007,online,yes,,,,,,,,,,,,,10.17026/dans-z2n-rmw8,20190312,
Berlin Infringement Database,political institutions,https://www.polsoz.fu-berlin.de/polwiss/forschung/international/europa/bid,"EU Integration, Noncompliance, European Commission, European Court of Justice",,0,0,1,0,1,1978,2019,online,no,,https://www.polsoz.fu-berlin.de/polwiss/forschung/international/europa/bid/_inhaltselemente-bid/codebook.pdf,,,,,,,memberstate,,,,,20210219,
Bilateral Labor Agreements Dataset,policy,https://www.law.uchicago.edu/bilateral-labor-agreements-dataset,"international law, treaties, migration",,1,1,1,1,1,1945,2015,online,no,,,,,,,,,,year,code_host,10.1086/694456,10.7910/DVN/14YF9K,20181129,
Boix-Miller-Rosato (BMR) dichotomous coding of democracy,democracy,https://sites.google.com/site/mkmtwo/data,"democracy, democratization, elections, participation, competitiveness, development",,1,1,1,1,1,1800,2020,online,no,,,,,,,,,country,year,ccode,10.1177/0010414012463905,,20200510,
Border Crossings of the World Dataset,international relations,https://doi.org/10.1177/00223433221145582,borders,,1,1,1,1,1,1993,2020,online,no,,,,,,,,,,,,10.1177/00223433221145582,,20230526,
British Election Study,citizens,http://www.britishelectionstudy.com/,"political attitudes, political participation, socio-demographic characteristics",GB,0,0,0,0,1,1964,2022,online,yes,,,,,,,,,,,,,10.5255/UKDA-SN-8810-1,20220511,
British Household Panel Survey,citizens,https://www.iser.essex.ac.uk/bhps,political attitudes,GB,0,0,0,0,1,1991,2009,online,yes,,,,,,,,,,,,,,20220428,
British Social Attitudes,citizens,http://www.natcen.ac.uk/our-research/research/british-social-attitudes/,"political attitudes, political participation, socio-demographic characteristics",GB,0,0,0,0,1,1983,2020,online,yes,,,,,,,,,,,,,,20220511,
Bundestag Roll Call Vote Data,parties and politicians,https://dataverse.harvard.edu/dataverse/btvote,"roll-call voting, legislative behavior, members of parliament",DE,0,0,0,0,1,1949,2013,online,no,,,,,,,,,,,,10.1017/S0007123418000406,10.7910/DVN/RESB5L,20181212,
BuzzFeed News “Trending” Strip,media,https://github.com/jsvine/buzzfeed-news-trending-strip/,"journalism, trending, issues",US,0,0,0,0,1,2018,2023,online,no,,,,,,,,,,,,,,20230527,
Campaign Finance Law Across the Nation,other,http://cfinst.org/State/LawsDatabase_Download.aspx,"state campaigns, finance laws",US,0,0,0,0,1,1996,2018,online,no,,https://cfinst.github.io/downloads/CFI_StateLaws_Codebook_web.pdf,,,,,,https://cfinst.github.io/downloads/cfi-laws-database.zip,,Year,,,,20180809,
Canadian Election Study,citizens,http://ces-eec.arts.ubc.ca/english-section/surveys/,political attitudes,CA,0,0,0,0,1,2004,2015,online,no,,,,,,,,,,,,,,20220528,
Canadian Federal and Ontario Provincial Candidates,parties and politicians,https://doi.org/10.7910/DVN/ABFNSQ,"elections, vote shares",CA,0,0,0,0,1,1867,2019,online,no,,,,,,,,,,year,,10.1017/S0008423920001213,10.7910/DVN/ABFNSQ,20210321,
Canadian Government Expenditures,policy,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XDZ4A6,"public expenditures, defense, education, environment, health, transportation and welfare",CA,0,0,0,0,1,1980,2004,online,no,,,,,,,,,,,,,10.7910/DVN/XDZ4A6,20190906,
Candidates in American General Elections,parties and politicians,https://doi.org/10.7910/DVN/DGDRDT,"president, house, senate, governor",US,0,0,0,0,1,2006,2021,online,no,,,,,,,,,,year,,,10.7910/DVN/DGDRDT,20210928,
Career Moves of Former Danish Ministers and Permanent Secretaries,political elites,https://doi.org/10.7910/DVN/OYW9GF,"career moves, ministers, private sector",DK,0,0,0,0,1,2009,2019,online,no,,,,,,,,,,Start yyyy,,10.1111/1467-9477.12214,10.7910/DVN/OYW9GF,20210728,
Caucasus Barometer,citizens,http://caucasusbarometer.org/en/datasets/,political attitudes,,0,0,1,0,0,2008,2022,online,no,,,,,,,,,,,,,,20220529,
Central Bank Governors,economics,https://kof.ethz.ch/en/data/data-on-central-bank-governors.html,central bank,,1,1,1,1,1,1970,2018,online,no,,,,,,https://ethz.ch/content/dam/ethz/special-interest/dual/kof-dam/documents/central_bank_governors/cbg_turnover.xlsx,,,country,year,,10.1016/j.jmacro.2010.04.001,,20220815,
Certificates of Competency for Nominees to be Chiefs of Mission,international relations,https://ryanscoville.com/2019/02/13/certificates-of-competency-for-nominees-to-be-chiefs-of-mission-1980-2014/,"ambassadorial nominees, qualifications",US,0,0,0,0,1,1981,2018,online,no,,,,,,https://ryanscoville.files.wordpress.com/2019/08/data-file-1.xlsx,,,Country,Nomination Year,,,,20191205,
Chance-Corrected Measures of Foreign Policy Similarity,international relations,https://doi.org/10.7910/DVN/ALVXLM,"foreign policy, similarity, affinity",,1,1,1,1,1,1816,2015,online,no,,,,,,,,,,year,ccode1,,10.7910/DVN/ALVXLM,20220604,
Change in Source of Leader Support,international relations,http://www.chisols.org/,leader transitions,,1,1,1,1,1,1919,2018,online,no,,http://www.chisols.org/uploads/1/1/2/6/11264284/chisolsusermanualv5.0.pdf,,,,,,http://www.chisols.org/uploads/1/1/2/6/11264284/chisolsstyr5_0.zip,statename,year,ccode,,,20220605,
Chapel Hill Expert Survey,parties and politicians,https://www.chesdata.eu/,"party positions, European integration, ideology",,0,0,1,1,1,1999,2020,online,no,,,,,,,,,,year,,10.1016/j.electstud.2021.102420,,20220620,
Chilean Ministers,cabinets and parliaments,https://github.com/bgonzalezbustamante/chilean-ministers,cabinet members,CL,0,0,0,1,0,1990,2014,online,no,,https://github.com/bgonzalezbustamante/chilean-ministers/blob/main/docs/codebook_ministers.pdf,https://github.com/bgonzalezbustamante/chilean-ministers/blob/main/data/tidy/Chilean_cabinets_1990_2014.csv,,,,,https://github.com/bgonzalezbustamante/chilean-ministers/archive/refs/heads/main.zip,,,,10.1111/blar.13044,10.5281/zenodo.5744536,20220326,
Chilean Undersecretaries,cabinets and parliaments,https://github.com/bgonzalezbustamante/chilean-undersecretaries,cabinet members,CL,0,0,0,1,0,1990,2022,online,no,,https://github.com/bgonzalezbustamante/chilean-undersecretaries/blob/main/docs/codebook_undersecretaries.pdf,https://github.com/bgonzalezbustamante/chilean-undersecretaries/blob/main/data/tidy/chl_undersecretaries.csv,,,,,https://github.com/bgonzalezbustamante/chilean-undersecretaries/archive/refs/heads/main.zip,,,,10.1111/blar.13044,10.5281/zenodo.5715384,20220326,
Chinese Economic Sanctions Dataset,international relations,https://sites.google.com/view/jackzhang/twl/data,economic sanctions,,0,1,0,0,0,1949,2020,online,no,,,,,,,,,,startyear,,10.1177/07388942241248274,,20240423,
Chinese General Social Survey,citizens,http://www.chinagss.org/index.php?r=index/index&hl=en,political attitudes,CN,0,1,0,0,0,2003,2013,online,yes,,,,,,,,,,,,,,20180402,
Chinn-Ito Index,economics,http://web.pdx.edu/~ito/Chinn-Ito_website.htm,"financial development, capital controls, financial liberalization, openness",,1,1,1,1,1,1970,2015,online,no,,http://web.pdx.edu/~ito/Readme_kaopen2015.pdf,,http://web.pdx.edu/~ito/kaopen_2015.dta,,http://web.pdx.edu/~ito/kaopen_2015.xls,,,country_name,year,,10.1016/j.jdeveco.2005.05.010,,20180516,
Citizenship Regime Inclusiveness Index,policy,https://doi.org/10.1186/s40878-020-00182-5,"immigration policies, citizenship policies, policy trends",,0,0,0,0,1,1980,2014,online,no,,,,,,,,,country_name,year,,10.1186/s40878-020-00182-5,10.7910/DVN/OAY6P7,20200720,
Citizenship Regime Inclusiveness Index 2.0,policy,https://doi.org/10.7910/DVN/XHZV8V,"immigration, citizenship policy, policy trends, integration",,0,1,0,0,1,1980,2019,online,no,,,,,,,,,country_name,year,,10.1111/1758-5899.12903,10.7910/DVN/XHZV8V,20210616,
Civil Liberty Dataset,democracy,http://ps.au.dk/forskning/forskningsprojekter/dedere/datasets/,"civil liberties, developments, freedom of expression, freedom of religion, freedom of movement",,1,1,1,1,1,1975,2020,online,no,,https://ps.au.dk/fileadmin/Statskundskab/Dokumenter/Forskning/Forskningscentre/DEDERE/CLD_codebook__2020_.pdf,,,,https://ps.au.dk/fileadmin/Statskundskab/Dokumenter/Forskning/Forskningscentre/DEDERE/CLD_2.5.xls,,,Country,Year,COW id,10.1007/s11205-013-0391-y,,20220531,
Climate Action Tracker,environment,https://climateactiontracker.org/data-portal/,"climate action, emissions, global warming, decarbonisation, agriculture, waste, electricity",,1,1,1,1,1,1990,2019,online,no,,,,,,,,https://climateactiontracker.org/documents/647/CAT_Data_and_Sources-2019-website-download.zip,Country,Year,,,,20191202,
Climate change in the contiguous United States,environment,https://github.com/washingtonpost/data-2C-beyond-the-limit-usa/,temperatures,US,0,0,0,0,1,1895,2019,online,no,,,,,,,,,,year,,,,20200813,
Climate Policy Database,environment,http://climatepolicydatabase.org/index.php/Download_policies,"energy, energy efficiency, renewables, nuclear",,1,1,1,1,1,1894,2020,online,no,,,,,,,,,,,,,,20200203,
CMP Government Positions Data,parties and politicians,https://wratil.eu/data/,"policy position, EU integration, left-right, economy",,0,0,1,0,1,1993,2018,online,no,,https://wratil.eu/files//CMP%20Government%20Positions%20Data%20Version%202.0.pdf,,https://wratil.eu/files//parties_cmp2019_online.dta,,,,,country,,,,,20200104,
Coalition Governance in Central Eastern Europe,cabinets and parliaments,https://erdda.org/gie/,coalition governance,,0,0,1,0,0,1990,2018,online,no,,,,https://erdda.se/datafiles/gie/2020/Data%20set%20(04%20Dec%202020)%20with%20party%20codes%20V14.dta,,http://erdda.se/datafiles/gie/2020/Data%20set%20(04%20Dec%202020)%20with%20party%20codes.xlsx,,,v001x,,,,,20220514,
Coalition Inclusion Probabilities Dataset,parties and politicians,https://coalition-leverage.org/cip-data/,"coalition bargaining, coalition leverage, policy-making, representation",,0,1,1,0,1,1946,2020,online,no,,,,,,,,,country,year,,10.1017/psrm.2021.75,,20220417,
Cohort Fertility and Education Database,other,http://www.cfe-database.org/database/,"cohort fertility, education, completed fertility rate",,1,1,1,1,1,,,online,no,,,,,,,,,,,,,,20191218,
Colonial Dates Dataset,international relations,https://doi.org/10.7910/DVN/T9SDEW,"colonialism, empire, development, world politics",,1,1,1,1,1,1462,1984,online,no,,,,,,,,,country,,,,,20230923,
Colpus Regime Data,international relations,https://www.johnjchin.com/colpus,"coups, regimes",,1,1,1,1,1,1946,2022,online,no,,,,,,,,,statenme,year,,10.1093/isq/sqab058,,20230526,
Commercial Military Actor Database,international relations,https://doi.org/10.7910/DVN/TOFZ09,"civil war, private military and security companies, mercenaries, market for force",,1,1,1,1,1,1980,2016,online,no,,,,,,,,,,YEAR,COWCCode,10.1177/00220027211072528,10.7910/DVN/TOFZ09,20220610,
Commissioners of the European Union,parties and politicians,http://holgerdoering.net/data.html,"appointment, delegation, European Commission",,0,0,1,0,1,1958,2014,online,no,,,,,,,,,,,,10.1177/1465116507076430,10.7910/DVN/A5ECON,20180114,
Comparative Agendas Project,parties and politicians,http://www.comparativeagendas.net/datasets_codebooks,"bills, debates, motions, laws",,0,0,1,0,1,1911,2021,online,no,,,,,,,,,,,,,,20220727,
Comparative Agendas Project: Media,media,http://www.comparativeagendas.net/datasets_codebooks,"newspaper, media",,0,0,1,0,1,1946,2015,online,no,,,,,,,,,,,,,,20220727,
Comparative Agendas Project: Public Opinion & Interest Groups,citizens,http://www.comparativeagendas.net/datasets_codebooks,"policy mood, most important problem, most important issue",,0,0,0,1,1,1848,2020,online,no,,,,,,,,,,,,,,20220727,
Comparative Candidates Survey,political elites,http://www.comparativecandidates.org/data-access,,,0,0,1,0,1,2015,2016,online,yes,,,,,,,,,,,,,,20180821,
Comparative Constitutions Project,constitutions,http://comparativeconstitutionsproject.org/download-data/,"national constitutions, constitutional events",,1,1,1,1,1,1789,2019,online,"no, online form",,,,,,,,,,,,,,20220807,
"Comparative dataset on socio-cultural, political and legal indicators",other,https://www.sirius-project.eu/news/comparative-dataset-socio-cultural-political-and-legal-indicators,"trade unions, participation, well-being, migration, governments, democracy",,0,0,1,0,1,2010,2017,online,no,,https://www.sirius-project.eu/sites/default/files/attachments/WP2%20_D2.1.pdf,,,,https://www.sirius-project.eu/sites/default/files/attachments/WP2_D2.1.xlsx,,,country,year,,,,20190208,
Comparative Income Taxation Database,economics,https://data.stanford.edu/comparative-income-taxation-database-citd,taxation,,0,1,0,0,1,1800,2010,online,no,,https://sdr.stanford.edu/uploads/bh/082/zh/0439/bh082zh0439/content/Codebook%20-%20CITD.pdf,,,,https://sdr.stanford.edu/uploads/bh/082/zh/0439/bh082zh0439/content/Income%20taxation%20-%20Masterfile.xlsx,,,,,,,,20180916,
Comparative Independent Fiscal Institutions,economics,https://fiscal-institutions.github.io/,"fiscal institutions, political independence, transparency",,1,1,1,1,1,1963,2018,online,no,,https://fiscal-institutions.github.io/CifiD%20Codebook.pdf,https://fiscal-institutions.github.io/CifiD%20Dataset.csv,https://fiscal-institutions.github.io/CifiD%20Dataset.dta,,https://fiscal-institutions.github.io/CifiD%20Dataset.xlsx,,,countryname,year,,,10.5281/zenodo.1422837,20190524,
Comparative National Elections Project,citizens,https://u.osu.edu/cnep/,"elections, government, economy",,1,1,1,1,1,1990,2020,online,no,,,,,,,,,,,,,,20201227,
Comparative Political Data Set,political institutions,http://www.cpds-data.org/,"government, elections, party system, institutions, economy, labour force, policy, demography",,0,1,1,0,1,1960,2021,online,no,,https://cpds-data.org/images/Update2023/Codebook_CPDS_1960-2021_Update_2023.pdf,,https://cpds-data.org/images/Update2023/CPDS_1960-2021_Update_2023.dta,,https://cpds-data.org/images/Update2023/CPDS_1960-2021_Update_2023.xlsx,,,country,year,,,,20230721,
Comparative Study of Electoral Systems,citizens,http://www.cses.org/,,,1,1,1,1,1,1996,2016,online,yes,,,,,,,,,,,,,,20181205,
Comparative Voter ID Law Index,political institutions,https://doi.org/10.7910/DVN/RU2F9A,"election integrity, voting, voter ID",,1,1,1,1,1,1918,2021,online,no,,,,,,,,,cntry,law_yr,,10.1080/00344893.2022.2113117,10.7910/DVN/RU2F9A,20220912,
Comparative Welfare Entitlements Dataset,policy,http://cwed2.org/download.php,"welfare policy, social insurance, unemployment, pension",,0,1,1,0,1,1970,2011,online,no,,,,,,,,,COUNTRY,YEAR,,,,20220621,
Comparative Welfare States Data Set,policy,http://www.lisdatacenter.org/resources/other-databases/,"wage, salary, social spending, macroeconomy",,0,1,0,0,1,1960,2018,online,no,,https://www.lisdatacenter.org/wp-content/uploads/CWS-codebook-2020.pdf,,https://www.lisdatacenter.org/wp-content/uploads/CWS-stata-2020.dta,,https://www.lisdatacenter.org/wp-content/uploads/CWS-data-2020.xlsx,,,,year,,,,20220807,
Comprehensive European Parliament Electoral Data,elections,https://doi.org/10.7910/DVN/GNRMTO,"European Parliament, European Union institutions, electoral systems, candidate selection",,0,0,1,0,1,1999,2014,online,no,,,,,,,,,cName,ElYear,,10.1177/14651165211053439,10.7910/DVN/GNRMTO,20220505,
Conflict Catalog,international relations,http://www.cgeh.nl/data#conflict,"conflict, fatalities",,1,1,1,1,1,1400,2000,online,no,,http://www.cgeh.nl/sites/default/files/Notes%20about%20Conflict%20Catalog.pdf,,,,http://www.cgeh.nl/sites/default/files/Conflict%20Catalog%2018%20vars.xls,,,,StartYear,,,,20180518,
